epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.5274052619934082,0.9461096525192261,0.5238294005393982,2.1399569511413574,0.870182454586029,0.32777708768844604,0.751960813999176,0.9860345125198364,0.713439404964447,0.9329008460044861,0.9009370803833008,0.6598039269447327
1,0.7372269034385681,0.9847111701965332,0.7358344197273254,1.0328670740127563,0.898698627948761,0.6144880056381226,0.7764706015586853,0.9862542152404785,0.7279980182647705,0.8115807175636292,0.8863636255264282,0.7264705896377563
2,0.7931027412414551,0.9891963601112366,0.7921009659767151,0.7929291725158691,0.9124583005905151,0.7023645639419556,0.7990196347236633,0.9831559658050537,0.7573213577270508,0.7684980630874634,0.8936915993690491,0.75
3,0.8259598016738892,0.9912920594215393,0.825272798538208,0.6647529602050781,0.9221782684326172,0.7502402067184448,0.8068627715110779,0.9832607507705688,0.7620348930358887,0.7582545876502991,0.8812217116355896,0.7637255191802979
4,0.843359649181366,0.992327094078064,0.8427429795265198,0.5874826312065125,0.9267638921737671,0.7802982926368713,0.813725471496582,0.9828622937202454,0.7754589319229126,0.7553776502609253,0.8865405917167664,0.7813725471496582
5,0.8582320213317871,0.9933261871337891,0.857782781124115,0.526493489742279,0.9315652847290039,0.8026903867721558,0.8166666626930237,0.9790188670158386,0.7735219597816467,0.7569026947021484,0.8784530162811279,0.779411792755127
6,0.8669841885566711,0.9943729639053345,0.8666132688522339,0.48460516333580017,0.9334129691123962,0.8160588145256042,0.8098039031028748,0.9805317521095276,0.7697755694389343,0.7348049283027649,0.8774617314338684,0.7862744927406311
7,0.8747963309288025,0.9948111176490784,0.8744141459465027,0.45124220848083496,0.9363322257995605,0.8269624710083008,0.8215686082839966,0.9805697798728943,0.7783698439598083,0.7399008274078369,0.8824809789657593,0.795098066329956
8,0.8832351565361023,0.9955199956893921,0.8829625844955444,0.4176429808139801,0.9402130842208862,0.8406023979187012,0.8264706134796143,0.982079803943634,0.779164731502533,0.7314218878746033,0.877440333366394,0.79313725233078
9,0.8909220099449158,0.9958837032318115,0.8907102942466736,0.3927971124649048,0.9428868889808655,0.8507331609725952,0.8323529362678528,0.9796461462974548,0.7910340428352356,0.7341716885566711,0.8875675797462463,0.8049019575119019
10,0.895016074180603,0.9961583614349365,0.8947799801826477,0.37279319763183594,0.9443241357803345,0.8563103079795837,0.8215686082839966,0.9781925082206726,0.7666755318641663,0.7545296549797058,0.878363847732544,0.800000011920929
11,0.9052721858024597,0.9973801970481873,0.9050604701042175,0.3353763818740845,0.9493734240531921,0.8688014149665833,0.8245097994804382,0.978732168674469,0.7786467671394348,0.7298911809921265,0.8827956914901733,0.8049019575119019
12,0.9098048806190491,0.9973723888397217,0.9095867872238159,0.3210996687412262,0.9528153538703918,0.8727075457572937,0.8264706134796143,0.9787488579750061,0.7844440937042236,0.7264639139175415,0.8803418874740601,0.8078431487083435
13,0.9123532772064209,0.9974514842033386,0.9121595621109009,0.31040751934051514,0.9545630216598511,0.8780966997146606,0.8323529362678528,0.979729175567627,0.7856631278991699,0.7187041640281677,0.8866310119628906,0.8127450942993164
14,0.9155491590499878,0.9976214170455933,0.9153704643249512,0.30123451352119446,0.9562714099884033,0.8811463713645935,0.8323529362678528,0.9792477488517761,0.7865965366363525,0.7264767289161682,0.8875802755355835,0.8127450942993164
15,0.9183899164199829,0.9978725910186768,0.9182891249656677,0.2937260568141937,0.9580291509628296,0.8854075074195862,0.8294117450714111,0.9807183146476746,0.7825145721435547,0.7132586240768433,0.8929729461669922,0.8098039031028748
16,0.9191210269927979,0.9977967143058777,0.9190232753753662,0.28816768527030945,0.9557262659072876,0.8860341906547546,0.8333333134651184,0.9792746305465698,0.7850223183631897,0.7108210325241089,0.8933189511299133,0.8127450942993164
17,0.9214813709259033,0.9979522824287415,0.9213420152664185,0.28127771615982056,0.9588593244552612,0.8884781002998352,0.8343137502670288,0.977830171585083,0.7873319387435913,0.7097012400627136,0.8938906788825989,0.8176470398902893
18,0.9223378300666809,0.9980835318565369,0.9221821427345276,0.27705878019332886,0.9585770964622498,0.8898984789848328,0.8372548818588257,0.9783043265342712,0.7963375449180603,0.7184796929359436,0.8897216320037842,0.8147059082984924
19,0.9227973222732544,0.9980467557907104,0.9227010607719421,0.27328580617904663,0.9593163132667542,0.8910055756568909,0.8343137502670288,0.9788026213645935,0.7900828123092651,0.7148125171661377,0.888059675693512,0.8166666626930237
20,0.9254292249679565,0.9983264803886414,0.9253062009811401,0.26248225569725037,0.9609419107437134,0.8942014575004578,0.8323529362678528,0.9783242344856262,0.7872236371040344,0.7115897536277771,0.8916308879852295,0.8147059082984924
