epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.04089296981692314,0.6467029452323914,0.004744344390928745,5.074691295623779,0.0,0.0,0.08180300146341324,0.7279559373855591,0.010863207280635834,4.80369758605957,0.0,0.0
1,0.09159190207719803,0.7339114546775818,0.014627241529524326,4.694089889526367,0.6666666865348816,0.00020863758982159197,0.12771286070346832,0.7788240909576416,0.024243060499429703,4.51201057434082,0.0,0.0
2,0.12278322875499725,0.7828018069267273,0.028199413791298866,4.4227399826049805,0.782608687877655,0.0018777383957058191,0.15525875985622406,0.807757556438446,0.03514406830072403,4.262449741363525,1.0,0.001669449033215642
3,0.1443772166967392,0.8139795660972595,0.041419122368097305,4.206435203552246,0.782608687877655,0.0075109535828232765,0.17445743083953857,0.8245449662208557,0.049752265214920044,4.102145195007324,1.0,0.003338898066431284
4,0.16524097323417664,0.8366134166717529,0.058001186698675156,4.033390998840332,0.8244680762290955,0.016169413924217224,0.18864774703979492,0.8444065451622009,0.06116384267807007,3.9614555835723877,0.9523809552192688,0.01669449172914028
5,0.17327351868152618,0.8520787954330444,0.06917861104011536,3.8947553634643555,0.8214285969734192,0.026392655447125435,0.18864774703979492,0.8524298667907715,0.06849943101406097,3.8642985820770264,0.8965517282485962,0.021702837198972702
6,0.1862090528011322,0.8640005588531494,0.08517815172672272,3.7923848628997803,0.8309859037399292,0.03077404573559761,0.2153589278459549,0.86008220911026,0.09119037538766861,3.784219980239868,0.9189189076423645,0.028380634263157845
7,0.20363029837608337,0.8697215914726257,0.10136541724205017,3.7106454372406006,0.8117647171020508,0.03598998486995697,0.22120200097560883,0.8663035035133362,0.10124242305755615,3.7145071029663086,0.9047619104385376,0.03171953186392784
8,0.21520967781543732,0.8783576488494873,0.11539784073829651,3.6197433471679688,0.8283261656761169,0.040267057716846466,0.23622705042362213,0.8692617416381836,0.1159495934844017,3.6498680114746094,0.9215686321258545,0.039232052862644196
9,0.22355517745018005,0.8830104470252991,0.12547852098941803,3.5663466453552246,0.8100358247756958,0.04715209826827049,0.2437395602464676,0.8742545247077942,0.12279747426509857,3.6106295585632324,0.9019607901573181,0.038397327065467834
