epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.010994224809110165,0.5580844283103943,0.008650717325508595,5.371927261352539,0.0,0.0,0.014190317131578922,0.6276743412017822,0.0027197778690606356,5.124189376831055,0.0,0.0
1,0.0194513201713562,0.6207782030105591,0.012240721844136715,5.147458076477051,0.0,0.0,0.04090150073170662,0.6660372614860535,0.009836369194090366,5.01489782333374,0.0,0.0
2,0.029847359284758568,0.6622230410575867,0.017913514748215675,5.034573078155518,0.0,0.0,0.03589315339922905,0.6919143199920654,0.01525657344609499,4.950826644897461,0.0,0.0
3,0.03867574408650398,0.6912893652915955,0.02320682443678379,4.939994812011719,0.3333333432674408,8.25082533992827e-05,0.04757929965853691,0.7061943411827087,0.01902967318892479,4.876343727111816,0.0,0.0
4,0.044306930154561996,0.7076441645622253,0.02664508856832981,4.873387813568115,0.6399999856948853,0.0003300330135971308,0.054257094860076904,0.6970232725143433,0.01701538637280464,4.890662670135498,0.0,0.0
5,0.05162953957915306,0.7216736674308777,0.03113742358982563,4.81166934967041,0.550000011920929,0.000680693075992167,0.07262103259563446,0.7367212772369385,0.03814760223031044,4.739806175231934,0.0,0.0
6,0.05602310225367546,0.7331576347351074,0.03472552075982094,4.761711597442627,0.5681818127632141,0.0010313531383872032,0.0717863067984581,0.7030826807022095,0.02965063601732254,4.868081092834473,0.0,0.0
7,0.06060231104493141,0.7428228259086609,0.03838278353214264,4.716309070587158,0.6142857074737549,0.0017739273607730865,0.09432387351989746,0.7755345702171326,0.038284387439489365,4.537487030029297,0.8333333134651184,0.00417362293228507
8,0.06474834680557251,0.7496312856674194,0.041697390377521515,4.680405616760254,0.6266666650772095,0.001938943867571652,0.07512520998716354,0.7583621144294739,0.035275038331747055,4.644559860229492,0.0,0.0
9,0.06899752467870712,0.7539477944374084,0.04558926448225975,4.656495094299316,0.660287082195282,0.0028465345967561007,0.08848080039024353,0.7613829374313354,0.04434497654438019,4.602931976318359,0.75,0.002504173666238785
