epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.013840759173035622,0.5690255761146545,0.011001148261129856,5.348030090332031,0.1428571492433548,0.00010313531674910337,0.04257095232605934,0.6795703768730164,0.01021393109112978,4.9705023765563965,0.5,0.000834724516607821
1,0.030342409387230873,0.6620872616767883,0.020637303590774536,5.023373126983643,0.5384615659713745,0.00028877888689748943,0.04674457386136055,0.7100467681884766,0.01848108507692814,4.86269998550415,0.0,0.0
2,0.04432755708694458,0.7082703709602356,0.0291224867105484,4.862907886505127,0.5510203838348389,0.0005569306667894125,0.08180300146341324,0.7815783619880676,0.03847871348261833,4.580130100250244,0.0,0.0
3,0.054723598062992096,0.7313084006309509,0.0365317277610302,4.7592082023620605,0.5135135054588318,0.0007838283781893551,0.09849749505519867,0.785063624382019,0.05647210031747818,4.489147186279297,1.0,0.000834724516607821
4,0.0648927390575409,0.747905969619751,0.04437507316470146,4.676097869873047,0.5849056839942932,0.0012788778403773904,0.10601001977920532,0.8021481037139893,0.05607571080327034,4.413967132568359,1.0,0.000834724516607821
5,0.07058580964803696,0.7608609795570374,0.04820272698998451,4.610183238983154,0.5474860072135925,0.0020214521791785955,0.11185308545827866,0.805313229560852,0.06364242732524872,4.3489532470703125,1.0,0.000834724516607821
6,0.0779290422797203,0.7705107927322388,0.054000429809093475,4.555706977844238,0.6694214940071106,0.0033415842335671186,0.0934891477227211,0.7844958901405334,0.05680060759186745,4.432361602783203,1.0,0.001669449033215642
7,0.07968234270811081,0.7779273390769958,0.05632605031132698,4.510144233703613,0.6317567825317383,0.0038572608027607203,0.11686143279075623,0.8055128455162048,0.06193109229207039,4.31254243850708,1.0,0.00500834733247757
8,0.08506600558757782,0.783942461013794,0.06049612909555435,4.471585273742676,0.647382915019989,0.004847359843552113,0.10601001977920532,0.8029209971427917,0.06075410917401314,4.314667701721191,0.8333333134651184,0.00834724586457014
9,0.08933580666780472,0.7903286218643188,0.06447011977434158,4.43618106842041,0.6450116038322449,0.005734323523938656,0.1285475790500641,0.8092321753501892,0.08984822779893875,4.273444175720215,0.8571428656578064,0.00500834733247757
