epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.014748349785804749,0.5710620284080505,0.011844894848763943,5.345682621002197,0.19480518996715546,0.0003094059356953949,0.055091820657253265,0.6955596804618835,0.028054052963852882,4.947057723999023,1.0,0.000834724516607821
1,0.03242574259638786,0.6717919111251831,0.021907394751906395,4.995143413543701,0.41025641560554504,0.0003300330135971308,0.08347245305776596,0.755203366279602,0.034025292843580246,4.671437740325928,1.0,0.000834724516607821
2,0.04880363121628761,0.718440592288971,0.032408833503723145,4.817475318908691,0.5522388219833374,0.0007632013293914497,0.08597663044929504,0.7569897174835205,0.047609224915504456,4.632999897003174,1.0,0.000834724516607821
3,0.058993399143218994,0.7437191605567932,0.03923061117529869,4.703309059143066,0.5196078419685364,0.0010932342847809196,0.09682804346084595,0.795136570930481,0.04854481294751167,4.446114540100098,1.0,0.001669449033215642
4,0.06879125535488129,0.7581634521484375,0.04694504663348198,4.624888896942139,0.625,0.0022689769975841045,0.11018364131450653,0.7911011576652527,0.06353367865085602,4.445797920227051,1.0,0.001669449033215642
5,0.0756806954741478,0.7698425054550171,0.05216135457158089,4.557864189147949,0.6342592835426331,0.002825907664373517,0.10684473812580109,0.7996450662612915,0.05982128530740738,4.345340728759766,1.0,0.003338898066431284
6,0.08067244291305542,0.7780591249465942,0.05622028931975365,4.507528781890869,0.6386292576789856,0.004228547681123018,0.13355593383312225,0.82525235414505,0.08488874137401581,4.210408687591553,1.0,0.006677796132862568
7,0.08601485192775726,0.7861098051071167,0.06079081445932388,4.457513332366943,0.6577669978141785,0.005589934065937996,0.14023372530937195,0.8165477514266968,0.08511722832918167,4.228414535522461,1.0,0.00500834733247757
8,0.09053217619657516,0.7939208149909973,0.06542568653821945,4.415409564971924,0.6548117399215698,0.006456270813941956,0.12437395751476288,0.8098364472389221,0.07726969569921494,4.217350959777832,0.8181818127632141,0.007512520998716354
9,0.09791667014360428,0.7974898219108582,0.07176269590854645,4.380942344665527,0.6962524652481079,0.007281353231519461,0.13355593383312225,0.818096935749054,0.08049661666154861,4.15496826171875,0.7857142686843872,0.009181969799101353
