epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.007528877817094326,0.5289964079856873,0.00639374228194356,5.344420909881592,0.0,0.0,0.009181969799101353,0.5677060484886169,0.0014330352423712611,5.244241237640381,0.0,0.0
1,0.009158415719866753,0.5613929033279419,0.006507315672934055,5.282135009765625,0.0,0.0,0.021702837198972702,0.5865023732185364,0.0025203668046742678,5.208056926727295,0.0,0.0
2,0.01093234308063984,0.573737621307373,0.007228396367281675,5.251711368560791,0.0,0.0,0.02587646059691906,0.5969242453575134,0.004231351427733898,5.196532726287842,0.0,0.0
3,0.012933168560266495,0.5842776894569397,0.00805947370827198,5.225475311279297,0.0,0.0,0.009181969799101353,0.6019130349159241,0.00081923499237746,5.1651811599731445,0.0,0.0
4,0.015635313466191292,0.5905832052230835,0.009439819492399693,5.203437805175781,0.375,6.188119004946202e-05,0.007512520998716354,0.6022915244102478,0.00289714802056551,5.169008255004883,0.0,0.0
5,0.015202145092189312,0.5974007844924927,0.009449752978980541,5.187761306762695,0.25,4.125412669964135e-05,0.021702837198972702,0.6083313822746277,0.004397659562528133,5.1725850105285645,0.0,0.0
6,0.017677392810583115,0.6034250855445862,0.011399729177355766,5.174311637878418,0.30000001192092896,6.188119004946202e-05,0.02587646059691906,0.616951048374176,0.0043339976109564304,5.135793685913086,0.0,0.0
7,0.017037954181432724,0.6069225072860718,0.010442512109875679,5.16895055770874,0.1428571492433548,2.0627063349820673e-05,0.013355592265725136,0.6047501564025879,0.005303596146404743,5.174586296081543,0.0,0.0
8,0.018646864220499992,0.6104159355163574,0.011001202277839184,5.1572723388671875,0.3076923191547394,8.25082533992827e-05,0.02003338932991028,0.6256746053695679,0.007006239611655474,5.127627372741699,0.0,0.0
9,0.017986798658967018,0.6151276230812073,0.010697015561163425,5.146887302398682,0.6000000238418579,6.188119004946202e-05,0.010851418599486351,0.6185044646263123,0.004002164117991924,5.141793727874756,0.0,0.0
10,0.018646864220499992,0.6170580387115479,0.011493878439068794,5.143534183502197,0.5,0.00018564357014838606,0.022537562996149063,0.6147671937942505,0.009532025083899498,5.147345542907715,0.0,0.0
11,0.02019389346241951,0.61762934923172,0.01169936265796423,5.138147354125977,0.25,6.188119004946202e-05,0.02003338932991028,0.6228837370872498,0.003951440565288067,5.120262145996094,0.0,0.0
12,0.019698845222592354,0.6204714179039001,0.011565967462956905,5.133022785186768,0.25,6.188119004946202e-05,0.018363939598202705,0.634390652179718,0.0036208301316946745,5.110404968261719,0.0,0.0
13,0.021101485937833786,0.6218882203102112,0.012456686235964298,5.129135608673096,0.38461539149284363,0.00010313531674910337,0.022537562996149063,0.6344202160835266,0.004582398571074009,5.096934795379639,0.0,0.0
14,0.020874587818980217,0.6253931522369385,0.011721954680979252,5.121429443359375,0.3636363744735718,8.25082533992827e-05,0.024207010865211487,0.6429784297943115,0.007641778327524662,5.092735767364502,0.0,0.0
15,0.020688943564891815,0.6276151537895203,0.011917013674974442,5.118495941162109,0.4166666567325592,0.00010313531674910337,0.02587646059691906,0.6479815244674683,0.007617612835019827,5.082413196563721,0.0,0.0
16,0.022442243993282318,0.6280148029327393,0.012680994346737862,5.116174697875977,0.25,6.188119004946202e-05,0.019198663532733917,0.6337525248527527,0.006717744283378124,5.110500812530518,0.0,0.0
17,0.022235972806811333,0.6283906698226929,0.012767079286277294,5.1120781898498535,0.3125,0.00010313531674910337,0.024207010865211487,0.6355257630348206,0.004990577232092619,5.091054439544678,0.0,0.0
18,0.021740924566984177,0.6302231550216675,0.012423567473888397,5.107012748718262,0.4444444477558136,0.0001650165067985654,0.027545910328626633,0.6333040595054626,0.008322963491082191,5.103199481964111,0.0,0.0
