epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.045587316155433655,0.6369847655296326,0.007356829475611448,5.449853420257568,0.1666666716337204,0.0006259127985686064,0.013355592265725136,0.6248276829719543,0.00025628384901210666,5.5168137550354,0.0,0.0
1,0.0636344701051712,0.7006363272666931,0.00960530899465084,5.089797496795654,0.25,0.0008345503592863679,0.028380634263157845,0.60895836353302,0.0008084276341833174,5.732965469360352,0.0,0.0
2,0.0714583769440651,0.7253035306930542,0.011763051152229309,4.9246296882629395,0.2750000059604645,0.001147506758570671,0.03589315339922905,0.6348749995231628,0.002046318259090185,5.451052665710449,0.0,0.0
3,0.08053411543369293,0.7407373189926147,0.016773492097854614,4.804391384124756,0.3181818127632141,0.0014604631578549743,0.06677796691656113,0.696719765663147,0.006566272117197514,4.98554801940918,0.0,0.0
4,0.08710619807243347,0.754311740398407,0.017532235011458397,4.701046466827393,0.5245901346206665,0.0033382014371454716,0.07512520998716354,0.7447766661643982,0.0075823357328772545,4.793991565704346,0.0,0.0
5,0.09461715072393417,0.7654635906219482,0.02480851113796234,4.6189866065979,0.4625000059604645,0.00385979562997818,0.11018364131450653,0.7724764347076416,0.0225509200245142,4.602004528045654,0.9230769276618958,0.01001669466495514
6,0.09670352935791016,0.7751405239105225,0.027641434222459793,4.532540321350098,0.6785714030265808,0.007928228937089443,0.07095158845186234,0.7256866693496704,0.0112560810521245,4.8953537940979,0.1340206116437912,0.010851418599486351
7,0.10254538059234619,0.7853744626045227,0.02632042020559311,4.486845970153809,0.6355932354927063,0.007823909632861614,0.09098497778177261,0.7504083514213562,0.01916569098830223,4.692132472991943,0.0,0.0
8,0.1090131476521492,0.7922321557998657,0.03194739669561386,4.438694000244141,0.6615384817123413,0.008971416391432285,0.08180300146341324,0.7344481945037842,0.01532314158976078,4.750936508178711,1.0,0.002504173666238785
