epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.012935531325638294,0.590567946434021,0.0076713962480425835,5.675415515899658,0.05882352963089943,0.00010431879491079599,0.002504173666238785,0.5195580720901489,5.5561096814926714e-05,5.603734016418457,0.0,0.0
1,0.024723555892705917,0.6536630988121033,0.014995650388300419,5.3428521156311035,0.0,0.0,0.01001669466495514,0.545237123966217,0.000765711534768343,5.572996139526367,0.0,0.0
2,0.03129563853144646,0.6831157207489014,0.019309211522340775,5.1464409828186035,0.1666666716337204,0.00010431879491079599,0.030050083994865417,0.6495141386985779,0.009515759535133839,5.222477436065674,0.0,0.0
3,0.032964739948511124,0.706443727016449,0.020769312977790833,5.014158248901367,0.0,0.0,0.04006677865982056,0.6923959851264954,0.013015142641961575,5.02982759475708,1.0,0.000834724516607821
4,0.040580011904239655,0.7228123545646667,0.025124719366431236,4.891979694366455,0.1538461595773697,0.00020863758982159197,0.04257095232605934,0.6938880681991577,0.02135363593697548,5.035048007965088,0.0,0.0
5,0.04892551526427269,0.7413480877876282,0.03088274970650673,4.780614376068115,0.4615384638309479,0.0006259127985686064,0.06928213685750961,0.7263455986976624,0.03291822969913483,4.862444877624512,0.0,0.0
6,0.05435009300708771,0.751632809638977,0.03478666767477989,4.707089424133301,0.27272728085517883,0.0006259127985686064,0.0717863067984581,0.7550454139709473,0.03691655024886131,4.72603178024292,1.0,0.000834724516607821
7,0.05674942582845688,0.7601755261421204,0.03566102311015129,4.642458915710449,0.5,0.0014604631578549743,0.059265442192554474,0.7528386116027832,0.028091616928577423,4.763731002807617,0.8571428656578064,0.00500834733247757
8,0.0671813040971756,0.7737749814987183,0.04338451102375984,4.575562477111816,0.40625,0.0013561443192884326,0.08180300146341324,0.736634373664856,0.055493153631687164,4.779153823852539,1.0,0.001669449033215642
9,0.07312747836112976,0.7835500836372375,0.05127262696623802,4.508334636688232,0.5333333611488342,0.0033382014371454716,0.08430717885494232,0.7432298064231873,0.04348945990204811,4.725124359130859,1.0,0.005843071732670069
