epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.025907590985298157,0.6304032206535339,0.018795613199472427,5.33184814453125,0.0714285746216774,2.0627063349820673e-05,0.06176961585879326,0.7307785749435425,0.03158945590257645,4.918196201324463,0.0,0.0
1,0.05026815086603165,0.7211847901344299,0.033405106514692307,4.883441925048828,0.4722222089767456,0.0003506600623950362,0.07929883152246475,0.7659997344017029,0.03581589460372925,4.694583415985107,0.0,0.0
2,0.06596534699201584,0.7539376616477966,0.04361644759774208,4.715573310852051,0.5950413346290588,0.0014851485611870885,0.10601001977920532,0.7833489775657654,0.05308683216571808,4.531095027923584,0.0,0.0
3,0.0794348195195198,0.7755488157272339,0.05458001047372818,4.599575042724609,0.6386861205101013,0.0036097359843552113,0.09682804346084595,0.7838530540466309,0.05779670178890228,4.541151523590088,1.0,0.00417362293228507
4,0.09207920730113983,0.7924541234970093,0.0661001205444336,4.493681907653809,0.6636971235275269,0.006146864499896765,0.10601001977920532,0.7927468419075012,0.0671214610338211,4.51041316986084,1.0,0.002504173666238785
5,0.10237210988998413,0.8043217658996582,0.07543227821588516,4.4180006980896,0.6590105891227722,0.00769389420747757,0.12687812745571136,0.8014413118362427,0.08499780297279358,4.382432460784912,0.9285714030265808,0.010851418599486351
6,0.1144595742225647,0.8161075115203857,0.08669845759868622,4.339197635650635,0.6925133466720581,0.010684818029403687,0.09265442192554474,0.7748072147369385,0.06872007995843887,4.544967174530029,0.5714285969734192,0.01001669466495514
7,0.12310230731964111,0.8260855674743652,0.09624311327934265,4.261319637298584,0.7101293206214905,0.013593234121799469,0.07846410572528839,0.7594997882843018,0.05839953571557999,4.712769985198975,0.5,0.015025041997432709
8,0.1316419094800949,0.8344114422798157,0.10470631718635559,4.193206787109375,0.7114661931991577,0.015614686533808708,0.14941568672657013,0.8249311447143555,0.11860662698745728,4.211634635925293,0.875,0.011686143465340137
9,0.14259488880634308,0.8409178256988525,0.11615210026502609,4.137011528015137,0.7160596251487732,0.017842410132288933,0.12687812745571136,0.7990246415138245,0.08882974088191986,4.3640828132629395,0.47826087474823,0.009181969799101353
